Molecule	Protein	Gene	UniProt	C1	C2	C3	C4	C5	C8	C9	C11	C14	C15	C16	C17	C18	C19	C20	C21	C24	C25	C26	C27	P1	P2	P4	P6	P9	P11	P13	P17	P18	P19	P20	P21	P24	P25	P27	P28	P29	P30	P31	P32
10037-98	SIG12	SIGLEC12	Q96PQ1	241.1	156.3	147.2	178.4	175.8	152.6	415.2	148.9	162.8	215.4	160.1	262.2	233.1	163.1	198.8	186.3	161.9	156.8	148.9	163.8	206.1	163.7	229.2	158.1	206.7	152.7	230.3	347.2	153.5	153	155.6	247.6	153.4	259.5	162.6	169.6	262.1	158.4	212.4	248.8
10040-63	P73L	TP63	Q9H3D4	425.1	622.2	231.3	272.1	310.1	353.3	312.2	265.4	276	318.5	254.5	371.6	433.8	284.5	329.7	237.2	296.2	470	326.7	300.3	317.3	939.8	243.6	399.3	306.6	305.7	296.7	347.5	259.2	156538.1	309.4	311.9	281.3	293.6	270.7	271.7	298.9	295.5	293.9	286.1
10041-3	HNF4A	HNF4A	P41235	35390.7	29128.9	33011.4	31690.4	43076.5	26581.9	31462.9	28570.4	33600.9	26787.3	33283	24070.8	24413.7	20061.5	33723.7	33160	26835.8	29838.6	32951.9	24591.6	40909.6	32236.6	33526.4	35855.8	32443	30802.8	37573.8	29487.8	28816.1	29523.4	32290.8	25727.2	25192.4	33712.3	33296.2	25887.1	32022.7	39341.2	30970.7	21402.9
10042-8	SGK3	SGK3	Q96BR1	692.1	755.9	721.6	752.1	888.7	739.9	709.7	723.4	684	723.7	753.6	767.4	705.4	803	712.3	782.4	736.4	828.2	858.7	698.2	729.1	769.2	710.6	785	732.6	2183.7	782.5	795.1	707.3	712.5	770.9	705.7	751.5	705	704.9	723.7	669.5	726.5	701.4	727.7
10043-31	BRD4	BRD4	O60885	428.3	454.7	490.5	437.5	475.1	459.6	388.3	500.1	442.5	453	451.1	442	455.9	462.3	428.5	430	411	442.1	467	442.9	436.6	425.4	488.6	417.5	536.1	461.9	473.3	536.5	587.7	428.5	430.5	441.2	439.6	490	465.3	482.2	407.6	448.1	493.8	435.7
10044-12	WN10A	WNT10A	Q9GZT5	906.5	1050.9	1215.6	847.3	1212.2	773.2	1361.6	1328.4	1149.2	1128.4	1062.1	672	976.4	1137.3	1065.5	1526.1	974.3	487.7	840.4	933	618.3	772.7	1898	737	778.5	794.1	793.3	811.9	817.1	1025.6	726.8	979.5	1031.4	1046.2	1290.9	843.9	1767.3	1305.7	1163.5	1151.5
10045-47	CUL3	CUL3	Q13618	787.1	737.3	726.1	725	731.9	1027.8	847.9	658.1	866.4	1000.8	983.7	856.2	761.8	747.7	728.2	778.6	891.8	793	852.7	827.7	772.5	748.1	702.7	641.3	624.6	857.9	1035.9	1112.1	660.1	762.3	667	747.1	797.9	673.3	909.7	915.3	678.9	802.8	879.1	746.9
10046-55	cIAP-1	BIRC2	Q13490	916.2	893.7	882.9	864.2	1370.2	917.8	890	949.4	971.8	1000.9	986.2	1070.9	927.8	1311.1	788.4	953.1	1150.4	1272.7	1255	968	946.5	874.8	910.5	853.8	913.7	1303.2	985.4	1412.3	1017.1	880.6	886.1	849.9	1040.1	1033.4	858.4	996.4	773.6	900.4	1092.2	820.1
10047-12	NCF-2	NCF2	P19878	499.9	471.9	566.1	439.2	355.2	479.5	368.1	514.8	407.8	369.5	570.9	371.5	384.8	395.5	447.6	750.6	353.6	340.3	468.2	371.2	339.1	361	431.8	347.8	340.8	348.9	571.3	462.4	377.7	385	499.7	407.5	354.3	369.4	411.4	345.1	402.5	368.9	346.7	397
10048-7	PEBB	CBFB	Q13951	1487.1	1291.5	1180.8	1487.6	1381.4	1197.8	1823.7	1258.4	1469.7	1437.3	1168.6	1390.3	1299.1	1389.1	1341.9	1454.7	1239.1	1405	1380	1407.8	1271.6	1345.6	1493.2	1296.1	1162.9	1204.7	1296.5	1433.2	1586.2	1392.9	1531	1289.9	1658.4	1203.6	1528.8	1273.1	1318.8	1437.5	1408.2	1547.8
10049-112	TERF1	TERF1	P54274	432.4	446.9	450.4	434.7	396.6	448.3	1007.8	409.9	415	450.5	400.5	473.1	487	424.3	438.1	395.5	447.5	485	411.9	497.6	461.5	455.7	897.6	451.1	445.7	445	463.7	434.6	405.6	462.4	448.3	480.6	419.3	444.1	427.1	434.4	418.4	419.6	417.4	445.1
10053-5	ILK1	ILK	Q13418	3556	4959.6	2487.5	7686.7	4499.8	7514.1	5772.1	9190.5	11896.5	15353.9	10060.1	18930.5	7024.2	7992	5236	6520.8	19645.1	16365.2	19058.3	14039.9	9142.4	5873.6	2199.1	2791.6	6795.2	9258	7165.2	23290.5	7140.8	8407.4	11452.1	4131.3	9965.5	7031.3	2248.2	8197.9	2847.2	9980.4	12395.3	4642.7
10054-3	GAN	GAN	Q9H2C0	273	287.7	249.6	273.1	298.2	368.2	259.7	268.1	315.9	1967.6	316.8	269.8	260.2	259	326.5	424.8	269.7	250.5	263.8	309.9	265.3	286.7	403.9	316.2	309.5	251.8	304.1	285.7	252.6	285.8	350	347.8	291.8	257.4	7444.1	252.2	305.5	271.8	269.7	281
10056-5	FOXM1	FOXM1	Q08050	1431.7	1209	879.3	1320	1079.5	1346.7	1090.6	967.5	1949.1	2056.4	1588.6	2106.4	1578.4	1331.4	989.9	1003.5	2514.7	2519.2	2179.7	1495.5	1189.5	1198.9	755.1	903.9	983.6	1526.4	2250.5	3163.8	1275	1598.6	1730.1	985.5	1851.5	1247.9	1345.7	1637.7	964.9	1466.9	2165.8	1157.4
10058-1	RD23A	RAD23A	P54725	18413.2	14146	10775.2	15560.6	15807	24954.5	16088.8	11996.3	20810	17841	21547.4	17820.1	13185.9	12718.1	13675.7	13955.4	18569.9	15114.8	22456	13632.5	16166.9	14995.4	13849.2	11592.8	12050.1	23619.8	21911.4	31472.9	16646.7	18669	16381.3	14148.2	16100	11808.1	22560.8	21537.4	12240.2	16079.3	22379.1	16614.6
10063-10	FANCL	FANCL	Q9NW38	454.1	440.8	513	419.7	469.4	421.8	428.3	488.6	450.5	421.7	468.3	439.5	413.5	468.1	423	1270.9	420.1	392	489.3	416.5	428	435.9	557.8	433.9	456.4	416.1	450.1	444.1	425.2	415.5	401.1	448	426.3	511.7	812.2	450.3	471.1	428.8	458.9	451.9
10064-12	RBBP9	RBBP9	O75884	1473.5	1550.2	1940	1454.8	18470.7	1731.8	1491.5	1420	1513.6	1371.8	2514.7	1372.8	1181.3	1262.7	1795.8	3215	1381.8	1472.2	1626.3	1218.9	1405.9	1405.4	1409.3	1405	1390.3	1400.9	1920.7	1603	1366.8	1499.6	1551.6	1355.9	1295.9	1516.2	1247.9	1467	1317.9	1311.8	1534.1	1367.3
10070-22	PLCG2	PLCG2	P16885	774.2	681.9	543.8	807.5	624.7	856.3	584.6	722.4	1822.2	910.9	1325.3	1134.6	773.3	751.5	753.1	742.1	976.1	1132.1	1199	1025.2	828.5	717.7	465.8	580.2	626.3	826.2	1272.6	1715.3	867.6	936.6	978.4	636.5	990.5	876.3	599.2	819.2	572.1	851.4	965.7	717.6
10073-22	TYDP1	TDP1	Q9NUW8	538.5	559.3	454.5	501.1	526.8	538.9	499	497.2	517.4	566.6	579.4	560.1	570.7	524.8	500.4	434	630.9	545.5	524	569.3	564.7	647.8	480.1	501.2	987.7	539.6	602.7	641	469.8	496.1	623.4	578.1	538	518.2	484.3	602	484.6	527.2	531	516.6
10074-128	BRD2	BRD2	P25440	696.7	871.8	826.1	640.5	1004.3	703.4	701.1	728.3	650.6	633.2	733.3	635.3	600.3	764.2	688.1	845	606	664.3	653.2	601.5	650	656.1	775.1	641.7	716.2	766.4	773.9	1358.8	702.6	1604.4	659.2	641	2174.8	684.3	692.1	736.7	688.1	657.8	694.9	682.1
10075-75	ACBD6	ACBD6	Q9BR61	195.3	157	153.6	212.3	159.1	240.7	190.2	252.3	291.9	396.4	495.8	453.1	223.2	157.8	181	176.6	494.8	405.7	649.6	240.5	262.6	503.6	122.6	143.3	264.9	321.7	293.9	812.5	255.9	221.9	436.2	163.6	230.3	265.6	148.9	349.6	125.2	272.8	373.2	220.7
10076-1	AP4M1	AP4M1	O00189	914.6	915.7	1195.7	834.2	965.3	964.6	812.8	982.4	919.6	1031.7	1223.7	997.3	817.9	1092.5	971.9	1041.6	958.7	922.7	979	869.4	931.2	857.8	1082.8	859.3	1016.2	1012.9	1169.9	1156.4	855.7	885.1	916.4	802.1	988.3	1009.1	1508.9	967.3	838.9	875.6	954.3	922.6
10078-5	BAG3	BAG3	O95817	585	575.3	541.6	629.5	1104.8	509	562.2	564.1	593.7	569.7	497.5	512.8	609.3	614.9	555.5	600.1	616.1	616.8	535.4	612.2	533.5	568.5	744.5	562.2	528.6	530.1	565.2	544.8	607.3	595.7	513.9	553	597	539.1	690.6	556.8	631.2	608.2	576.5	579.3
10080-9	EI2BA	EIF2B1	Q14232	1385.3	967.1	649.3	1215.8	1051.8	1770	813.7	1346.6	2259.8	1463.2	2098.3	2283.3	1585.4	1268.9	842.2	1256.1	1625.3	1550.9	1955.9	1426.3	1216.2	957.2	528.3	919.5	1000.3	1548.6	1959	3633.7	1835.1	1366.8	1643.2	827.9	1673.2	1285.8	1045.3	1763.3	712.7	1430.9	1899	1081.2
10081-17	SATB2	SATB2	Q9UPW6	560.5	571.7	649.5	542.9	684.1	435	574.9	647.5	567.3	529.1	457.1	409.9	513.4	586.2	449.7	568.9	442.9	394.8	532.5	552.5	420.8	525.4	947.1	474.5	446.6	540.6	444	432.2	593.5	563.9	398.8	421.6	578.4	558.5	727	516.7	692.8	645.1	596	624.4
10082-251	NFL	NEFL	P07196	992.4	1033.2	1129.4	668.6	894.6	1007.7	879.4	708.6	706.3	1238.5	2854.6	843.9	640.6	1279.4	1044.5	4320.5	508.4	478	1333.2	1174.9	832	937.9	606.8	682.1	774.9	667.4	2165.4	1583.9	1557.7	732.2	1080.9	1039.4	1000.6	1048.5	920.4	1154.4	800.8	954.1	1107.2	706.1
10085-25	STAR	STAR	P49675	1695.5	1607.9	1788.7	1631.3	1477.7	1686.3	1697.8	1773.3	1561.6	1316.7	2631.7	1473.6	1254.4	1412.5	1457.3	3403.8	1377.5	1431.1	1857.8	1123.4	1644.8	1430.8	1514.1	1572.5	1525.2	1498.3	2133.5	1792.9	1674	1386.4	2776.5	1375.9	1273.5	1674.6	1203.3	1802.2	1296.7	1480.9	1792.6	1352.2
10086-39	CBS	CBS	P35520	1524.5	1499.1	1376.8	1438.7	1401.5	1755	2053.7	1942.3	1806.9	1723.6	1657.4	1741.2	1576.9	1683.2	1683.5	1668.4	2497.3	1762.3	1912	2509.8	1660.6	1864.4	1991.2	2050.9	1710.7	1658.4	1742	1961.7	1654.6	1792.8	2471.6	1838.1	1576.9	1498.5	1340.2	1531.8	2037.5	1703	1513.1	1517
10087-10	Alpha crystallin A chain	CRYAA	P02489	346.2	350.8	360.2	326.7	347.1	369	335.6	354.5	330.9	335.2	347.8	361	340.4	353.8	365	308.5	347.1	394	370.5	354.3	382.1	481.1	334.7	407.3	694.2	464.2	384.9	334.3	313.1	328.9	385.4	389.2	331.2	404.8	323.6	354.6	316.4	343.1	328.5	334.1
10088-37	APT	APRT	P07741	2154.3	1721.2	1883.4	2289.6	1974.6	5685.4	2496.4	4465.8	4849.6	4773.4	5723.1	6219.7	2548.6	3151.1	1631.4	1600.8	6359.9	5409.8	9073.4	3569.9	3022.7	2490.7	1166.5	1266	2800.2	4353.8	3078.5	9266	3269.3	3115.5	3540.6	1682.2	3080.8	3065.4	1533.6	5392.9	1081.8	3135.1	5160.1	2026.9
10089-7	ASML	ASMTL	O95671	355	377.5	2024.3	394.7	431.2	430.3	516.3	461.6	468	529.9	583.4	581	500.1	643.6	440.2	638.1	566.7	602	833.6	474.7	439.4	430.5	346.6	383	429.8	526	462.1	476.8	417.9	449.5	680.3	418.1	2633.7	385.9	340.7	559.5	348.5	409.3	603.5	425.7
10336-3	CHIP	STUB1	Q9UNE7	434.1	585.9	361.3	501	469.5	551.6	490.5	3367.9	756.5	856.4	686.3	763.8	735.6	799.1	535	523.2	912.5	893	853.4	1131.7	524.6	633	561.6	721.5	620.6	661.1	515.2	1324.8	666.1	676.4	621.6	593.9	610	629.4	539.3	771.6	8983.1	728.9	894.3	507.9
10339-48	NSE	ENO2	P09104	8026.3	7469.4	4198.5	8128.7	7402.9	11525.4	8211	6268.9	8434.4	8143.8	12415	11080.8	10029.7	10174.6	9613.1	8148.4	9401.8	8148.7	7794.1	8882.1	10496.5	10336.3	7884.8	9503.8	8368.7	10239.4	12825.4	9647.3	11373.2	11620	8985.9	7646.5	9676	7236.8	9349.3	9094.2	9403.2	9043.3	9592.1	10131.9
10342-55	PIAS4	PIAS4	Q8N2W9	348.2	435	396.9	378.1	393.3	299.1	412.1	425.1	492.8	404.2	316.1	293	383.3	445.1	331.1	447.5	302.8	248.6	313	375.9	262.4	381	564.9	316.1	274.5	333.9	323.3	326	327.8	357.6	269.6	347.2	486.8	364.7	439.6	335	481.1	442.9	411.3	415
10344-334	IL-10 Ra	IL10RA	Q13651	4185	3939.5	4308	4421.7	6401.2	3316.8	4514.8	3441	3860.7	3203.3	2897.7	2850.9	3428.4	3400.1	3408.8	3093.2	3513.4	3103	4149.4	3199.3	3573.9	3297.9	6782.6	3524.7	3371.4	4142.9	2766.4	3182.8	5431.6	3625.7	3877.4	2850.5	3780.4	3979.1	5449.1	4206.2	3699.2	3475.5	3961	4060.2
10346-5	STAT3	STAT3	P40763	7116.3	6236.5	4022.6	8135.4	5308.9	9324.6	5437.7	6723.3	12090.1	15533.8	14763.2	19316.6	10680.7	9856.5	6303.4	7539.5	20187.9	17080.5	20697.8	10664.1	10009.5	7787.8	3842.3	5413.7	6084.9	11868.7	12846.8	22983.7	10016.9	10659	12203.2	6531.6	12879.9	9649.5	5825.3	10006.5	6046.1	10385.6	13050.6	7574.1
10356-21	c-Jun	JUN	P05412	2015.3	1785.9	1938	1978.7	2164.5	1528.4	2215.3	1942.3	1834.3	1551.2	1893.9	1432.1	1377.5	1775.8	1485.4	2538.3	1492.8	1296.1	1781.9	1295.2	1329.1	1444.8	2824.3	1454.6	1546.8	6552.9	1464.3	2150.4	1877.9	1783.5	1344.6	1168.6	1502.9	1679.3	2140	1758	2015.9	2112	1675.4	1857.4
10361-25	OAS1	OAS1	P00973	334.5	372.9	386.6	338.1	297.7	399.3	425.9	412.8	359.7	343.2	390.6	400.6	340.3	364.2	455.6	406.1	411.6	343.1	441.1	346.4	486.2	378	339.6	370	414.3	435	401.5	365.2	340.5	337.8	373.4	372.9	4331.3	354.2	301.2	361.3	355.4	363.8	362.7	351
10362-35	c-Myc	MYC	P01106	396.3	420.3	569.6	328.3	385.6	464.5	368.6	550.8	405.9	843.9	480.1	1062.2	347.1	396.5	395	453.6	382	561.8	424.3	343	413	407.6	409.8	341.5	497.5	462.7	519.9	380.3	339.7	384.8	335.9	372	410	520.8	323.7	1526.3	365.7	333.2	513.3	395.1
10363-13	SMAD3	SMAD3	P84022	4748.8	4649.5	3731.4	4724.2	3850.1	5089.2	6072.8	5844.9	8031.7	8446.2	8537.4	7724.1	5810.5	6421.9	4317.7	8142.6	9051.5	8540.3	9397.8	6127	5131	4166.6	3997.9	3442.4	4367.9	5944.1	7260.4	11293.8	4782.9	5885.6	5753.5	3658.1	6335	5265.6	4191.1	6173.4	5038.9	6145.9	7290	4866
10364-6	SMAD2	SMAD2	Q15796	2725.6	2496.4	1960.8	2970.7	2234.8	3120.6	2350.1	2995.5	4539.3	5261.7	5323.1	5126.5	3271.4	3579.8	2232.1	3152.8	6020.8	5805.9	6869.1	3597.1	3222.6	2264.8	1736.9	1884.9	2433.3	3631.1	4228.7	8265.1	3086.8	3256	2935.2	2018	3844	3782.7	2416.8	3904.7	1897.5	3367	4743.2	2587.7
10365-132	IL-23	IL12B IL23A	"P29460, Q9NPF7"	821	655.8	445.8	758.7	693.4	710	924.6	792.4	651.6	814	611.8	934	785	634.1	813.4	681.5	951.7	1068.3	767	1043.1	876.9	722.4	931.7	1279.6	779.9	1026.2	596.5	1127.7	1013	845.5	741.7	778.6	958.7	924.6	695.3	688.1	932.4	883.2	706.2	606.2
10366-11	PDGFRA	PDGFRA	P16234	1062.6	1138.5	1004.6	1108.8	1145.4	1203	1179	1299.7	1241.4	1550.2	1138.7	1423.9	1272.9	1317.1	1310.3	1148.7	1440.8	1113	1201	1401.8	1311.6	1404.9	1475.5	1298.9	1254.2	1083.9	1232.4	1206.2	4757.7	1457.2	1701.4	1468.5	86430.3	1029.9	1689.5	1257.5	1560.2	1736.9	1459.6	1287.1
10367-62	IL-12	IL12A IL12B	"P29459,  P29460"	185	186	212.1	174.8	250.5	284.9	196.2	199.2	180.9	205.2	192.9	710.1	221.2	170.9	194.2	189.2	215.6	611	187.4	183.5	203	207.8	180.3	194.1	235.4	214.3	213.3	208.3	176.5	194.9	167.8	185.5	199.4	259.9	161.7	207.2	198	175.1	187.7	177.2
10370-21	STAT1	STAT1	P42224	585.8	634.9	466.3	713	581.7	802.3	503.5	783.5	1051.9	1274.9	1362.6	1487.4	841.7	844.4	557.2	758.3	1781	1437.9	1905.2	927.9	839.5	632	408.1	630	617.3	985.9	1176.1	2086.2	916.6	1014.7	1263.4	620.8	1208.8	827.8	442.1	954.5	479.6	822.6	1223.7	610
10372-18	STAT6	STAT6	P42226	3757.5	3303.9	2881.2	3940.4	2952.6	4432.5	2396.2	2653.8	4471.6	5441.1	5653	6638.7	3981.5	3767.5	3763.2	3174.2	6574.7	6350	6716.8	4445.9	4161.5	3631.4	2705.5	3154.7	2554.8	3922.3	5261.6	7539.5	4045.9	4762.2	4931.5	3736.8	5057.1	3297.3	3962.5	3523.9	3035.4	3993.1	5099.2	3438.7
10390-21	ZNRF3	ZNRF3	Q9ULT6	488.8	486.9	386.3	465	396.4	425.9	384.6	365.4	449.1	493.8	489.4	529.5	615.3	399.4	409.3	351.7	580.5	540.6	582.5	491.3	581.9	519.8	347.9	468.8	2982	475.8	505	652.7	494.5	514.1	434.7	394.2	471.1	364.7	512.2	442.2	357.7	449.9	557.7	370.3
10391-1	ANGL3	ANGPTL3	Q9Y5C1	1287.5	1076.9	1282	1171.6	678.4	994.5	1072.7	1245.7	878.7	1540.9	1009.6	1351	889.5	1363.8	1614.1	762.4	491.3	905.8	1134.1	1288.9	1789.8	1041.2	1134.9	1373.8	1556.1	1621.6	1566.9	1604.4	1216.4	1015.2	962.9	843.3	881.8	1184.1	1231.5	1571.1	880.4	1499.3	1475.2	1011.8
10396-6	Mcl-1	MCL1	Q07820	184.3	166.1	118.9	180.5	142.4	463.7	148.6	132.3	165.6	678.3	135.6	186	230.8	186.7	253.9	125	196.3	234.2	168.4	179.3	195.3	195.5	139.8	208.5	168.5	188.4	207	225.6	201.7	181.8	248.4	184	189	161.8	159.7	175.5	156.5	154.9	172.3	171.7
10416-79	Fc_MOUSE		Q99LC4	1195.7	1250.4	1538.8	1267.6	1679.2	1081.3	1422.6	1314.7	1218.7	1089.4	1054.3	900.2	1128.9	1224.3	1625.6	1321.9	1030.5	920	1207.8	1018.8	936.4	996.8	1976.7	977.4	1048.4	1048.9	1071.6	980.9	1390.4	1100.6	968.5	1418.6	1184.3	1338.3	1510.2	1275	1272.1	1931	1315	1350.2
10418-36	STX12	STX12	Q86Y82	2210.1	1975.1	1867.2	2560.5	1512.3	1847.9	1548	1603.1	1956.2	2229.7	4001.6	2181.8	1863.3	2042.1	3241.9	7269	1791.7	1653	2055.2	1829.5	1958.4	1572	1746.1	1705.7	1382.4	1777.6	2000.4	2638.5	1994.6	1938.3	3777.4	1671.4	2208.9	1503.6	2039.5	1568.3	1828.6	1829.7	1888.1	2063.7
10419-1	SCAR5	SCARA5	Q6ZMJ2	3569.6	4850.2	2685.4	4631.7	4958.7	4868	4705.1	5531.3	5313.7	5159.4	2694.5	5001.9	9907	5833.2	5461.2	2960.7	4737.7	4453.4	4280.7	5832.5	4514.6	5425.5	4773.1	6380.8	3611.3	4247.3	4202.4	4699	7174.8	4973.8	3635.2	6825.3	4984.6	2682.9	4549.9	6237.4	4281.9	7357.8	6370.3	4392.3
10424-31	NPDC1	NPDC1	Q9NQX5	510.7	469.3	411.4	484.4	492.1	451.2	525.7	445.9	484.4	454.3	444.3	488.2	665.1	920.3	475.4	569.2	500.7	444.4	553.8	504	497.1	604.3	555.9	553.5	526.8	574.5	508.9	472.2	469	564.3	442.7	495.4	550.1	462.2	553.2	461.3	501.8	557.5	484.1	487.8
10425-3	B4GT5	B4GALT5	O43286	568.6	605.1	593.9	574.2	525.3	601.9	661.8	618.5	571.2	596.2	670.2	559.5	561	564.2	621	772.6	567.5	490.9	552	561.9	535.5	584.7	656	668.8	593.6	544	597.3	576.3	583.1	597.9	556.1	688.6	572	564.8	567.5	526.2	664.6	566.1	569.6	569.3
